gate,total_pnl,daily_sharpe,max_drawdown_abs,trades,april3_pnl
0.4,8676.398279547691,1.440009380745497,-2119.852075576782,3814,406.0650634765625
0.2,8350.48633992672,1.2123384713555825,-5893.526767730713,3955,-2266.3623046875
0.3,8329.698133349419,1.2927943689270476,-3841.4689168930054,3872,406.0650634765625
0.5,8043.505831718445,1.5127510019767616,-1377.814938545227,3753,406.0650634765625
0.0,4772.478088974953,0.5423445759868604,-10354.549218654633,3984,-5714.7646484375
0.1,4758.222190499306,0.5415462779780458,-10279.505610466003,3978,-5714.7646484375
0.6,4659.646524190903,1.568714671153937,-1116.0897636413574,3690,406.0650634765625
0.8,2442.098901748657,1.1496739582399185,-1083.8942888975143,3555,406.0650634765625
0.7,2283.2091596722603,1.0478279095906375,-1244.1246688365936,3615,406.0650634765625
2.2,1223.7914766364265,1.6800243650654867,-281.075825214386,2700,412.65460205078125
0.9,1104.6056923270226,0.6883011787944543,-1355.639565706253,3493,406.0650634765625
1.0,1006.1598624587059,0.6869291889069282,-1003.561995267868,3421,406.0650634765625
2.4,947.6941586236935,1.4996166911076063,-247.48227977752686,2607,214.05340576171875
2.3,947.5574991994072,1.4886265188239416,-299.30448001623154,2654,214.05340576171875
2.5,923.9208203058224,1.4636164442109163,-239.99019241333008,2570,214.05340576171875
1.5,904.8758336752653,0.8109750534563547,-725.0718318372965,3084,406.0650634765625
2.1,881.7642823599745,1.1255000723850865,-330.67199182510376,2742,412.65460205078125
1.6,812.5977600309998,0.7392361842528083,-717.9548202902079,3025,406.0650634765625
1.7,790.0028690788895,0.7192007241178722,-725.9108966737986,2964,406.0650634765625
1.8,770.8926627133042,0.7187630772359911,-732.0855108648539,2916,406.0650634765625
1.1,764.0017043352127,0.5440605061041459,-949.1054570674896,3340,406.0650634765625
1.9,641.972682306543,0.6255862822072609,-733.8545829206705,2865,406.0650634765625
1.2,546.9715336561203,0.3986589654415497,-1090.7404401302338,3286,406.0650634765625
1.4,510.8732616752386,0.44005497059744614,-850.6854630857706,3148,406.0650634765625
2.0,473.9737084005028,0.473783084195966,-737.7729474455118,2807,406.0650634765625
1.3,179.4463735818863,0.13352861564626584,-1228.540325641632,3210,406.0650634765625
