gate,total_pnl,daily_sharpe,max_drawdown_abs,trades,april3_pnl
0.22,10102.537131667137,1.5635871878053589,-3627.139102935791,3943,406.0650634765625
0.24,9695.66428744793,1.5026251616297144,-3656.358428955078,3929,406.0650634765625
0.26,9334.240094780922,1.4460667388508972,-3760.3309173583984,3913,406.0650634765625
0.46,8948.316235899925,1.4989144290084933,-1363.7152938842773,3786,406.0650634765625
0.48,8931.055749297142,1.50264114605188,-1389.761082649231,3768,406.0650634765625
0.42,8885.173143267632,1.4790846207058646,-1988.745813369751,3808,406.0650634765625
0.4,8676.398279547691,1.440009380745497,-2119.852075576782,3814,406.0650634765625
0.44,8640.28038918972,1.4398303759570843,-1928.2298011779785,3798,406.0650634765625
0.28,8603.236529946327,1.3346841556737985,-3813.520441532135,3895,406.0650634765625
0.38,8482.566281676292,1.3988382644938249,-2511.738145828247,3828,406.0650634765625
0.2,8350.48633992672,1.2123384713555825,-5893.526767730713,3955,-2266.3623046875
0.3,8329.698133349419,1.2927943689270476,-3841.4689168930054,3872,406.0650634765625
0.36,8100.922487616539,1.3140110396893272,-3024.907759666443,3835,406.0650634765625
0.5,8043.505831718445,1.5127510019767616,-1377.814938545227,3753,406.0650634765625
0.32,8016.21007335186,1.2474122630734512,-3839.8349599838257,3858,406.0650634765625
0.34,7379.035430788994,1.1512426422302682,-3839.8349599838257,3844,406.0650634765625
0.52,6922.472398400307,1.5101656214509012,-1155.8657836914062,3727,406.0650634765625
0.54,4826.315071105957,1.6013406165017106,-1159.9021663665771,3720,406.0650634765625
0.6,4659.646524190903,1.568714671153937,-1116.0897636413574,3690,406.0650634765625
0.58,4626.4215705394745,1.557173861964555,-1138.1210308074951,3697,406.0650634765625
0.56,4559.823695421219,1.5232551915257058,-1159.9021663665771,3706,406.0650634765625
