min_dte,max_dte,min_moneyness,max_moneyness,max_rel_spread,min_liquidity_volume,min_liquidity_open_interest,sell_edge_threshold,buy_edge_threshold,weekly_abs_edge_usd,mid_abs_edge_usd,prefer_defined_risk,allow_naked_long,allow_naked_short,max_naked_dte,stress_return_gate,no_defined_risk,total_pnl,daily_sharpe,max_drawdown_abs,max_drawdown,trades,candidates,win_rate
14,75,0.75,1.05,0.15,1000.0,10000.0,0.1,-10.0,1.0,0.5,False,False,False,7,-0.02,True,12908.851295864566,1.4886237950133945,-5770.063686800778,-4.228262810281196,1876,3137,0.6706827309236948
14,75,0.75,1.05,0.08,1000.0,10000.0,0.1,-10.0,1.0,0.1,False,False,False,7,-0.02,True,12908.851295864566,1.4886237950133945,-5770.063686800778,-4.228262810281196,1876,3137,0.6706827309236948
14,75,0.75,1.05,0.12,1000.0,10000.0,0.1,-10.0,1.0,0.5,False,True,False,45,-0.02,True,12908.851295864566,1.4886237950133945,-5770.063686800778,-4.228262810281196,1876,3137,0.6706827309236948
10,75,0.95,1.25,0.15,1000.0,50000.0,0.3,-8.0,0.3,0.2,False,False,True,14,-0.01,True,10796.422988405939,1.2581390704479696,-6260.2904636441845,-4.138630755981726,1719,2853,0.570281124497992
10,75,0.95,1.25,0.15,1000.0,50000.0,0.5,-8.0,0.3,0.2,False,False,True,14,-0.01,True,10796.422988405939,1.2581390704479696,-6260.2904636441845,-4.138630755981726,1719,2852,0.570281124497992
3,60,0.75,1.2,0.03,50.0,0.0,0.5,-12.0,1.0,0.3,False,True,True,30,0.0,True,10741.602613518118,1.760147185285705,-2573.270145124782,-1.4969738800527383,1210,11419,0.5060240963855421
3,60,0.75,1.2,0.03,50.0,0.0,1.0,-12.0,1.0,0.3,False,True,True,30,0.0,True,10741.602613518118,1.760147185285705,-2573.270145124782,-1.4969738800527383,1210,11392,0.5060240963855421
3,60,0.75,1.2,0.03,50.0,0.0,0.5,-12.0,0.1,0.3,False,False,False,30,0.0,True,10741.602613518118,1.760147185285705,-2573.270145124782,-1.4969738800527383,1210,11419,0.5060240963855421
3,75,0.8,1.3,0.03,200.0,3000.0,1.0,-12.0,0.05,0.2,False,True,True,45,-0.03,True,10119.86373942406,1.4868241100387807,-3545.1469765531474,-1.5438323340848534,2021,17149,0.7469879518072289
3,75,0.85,1.1,0.08,50.0,20000.0,1.0,-12.0,0.03,1.0,True,True,True,21,-0.01,False,9156.440555826071,1.7471079621437127,-1632.9847682547634,-0.6149831092093819,1715,19143,0.6506024096385542
3,75,0.85,1.1,0.08,50.0,20000.0,1.0,-12.0,0.3,1.0,True,True,True,21,-0.01,False,9156.440555826071,1.7471079621437127,-1632.9847682547634,-0.6149831092093819,1715,19143,0.6506024096385542
3,75,0.8,1.1,0.08,50.0,20000.0,1.0,-12.0,0.3,1.0,True,True,False,21,-0.01,False,7909.772634236131,1.410791562387888,-2097.6459857229356,-0.6720748100547073,761,19684,0.6024096385542169
14,120,0.8,1.25,0.08,50.0,20000.0,0.3,-12.0,0.1,0.5,False,False,False,60,0.0,True,7870.172445606825,0.9817330323494552,-3962.4770898754996,-1.2108472394823284,1260,7176,0.46586345381526106
14,120,0.8,1.25,0.08,50.0,20000.0,3.0,-12.0,0.1,0.1,False,True,False,60,0.0,True,7870.172445606825,0.9817330323494552,-3962.4770898754996,-1.2108472394823284,1260,6911,0.46586345381526106
14,120,0.8,1.25,0.08,50.0,20000.0,0.3,-12.0,0.1,0.3,False,False,False,60,0.0,True,7870.172445606825,0.9817330323494552,-3962.4770898754996,-1.2108472394823284,1260,7176,0.46586345381526106
14,120,0.8,1.25,0.08,50.0,20000.0,0.3,-12.0,0.3,0.5,False,False,True,60,0.0,True,7870.172445606825,0.9817330323494552,-3962.4770898754996,-1.2108472394823284,1260,7176,0.46586345381526106
21,45,0.85,1.1,0.15,1000.0,10000.0,2.0,-0.3,0.03,0.2,False,True,True,21,-0.02,True,7840.8301646434065,0.8646914414477849,-6587.73969772302,-2.4467121065966233,1513,1727,0.5943775100401606
14,60,0.9,1.2,0.2,200.0,10000.0,8.0,-4.0,0.3,1.0,False,True,True,45,-0.0125,True,7297.976915869336,0.596504150550723,-8472.852689018428,-0.6797271178543812,2001,5875,0.570281124497992
14,60,0.9,1.2,0.2,200.0,10000.0,8.0,-4.0,0.3,0.2,False,True,True,30,-0.0125,True,7297.976915869336,0.596504150550723,-8472.852689018428,-0.6797271178543812,2001,5875,0.570281124497992
14,75,0.8,1.3,0.2,200.0,3000.0,1.0,-12.0,0.5,2.0,False,True,True,45,0.0,True,7232.1210489716905,1.2529764866700925,-3588.1915114587164,-2.998341883275193,1183,4511,0.42168674698795183
5,30,0.85,1.3,0.08,200.0,0.0,20.0,-12.0,0.1,0.05,False,False,False,7,-0.03,True,7037.212022161301,1.6830588144127498,-1371.3129466849246,-0.754957532178143,2023,13710,0.7068273092369478
5,30,0.85,1.3,0.08,200.0,0.0,20.0,-12.0,0.1,0.05,False,True,False,45,-0.03,True,7037.212022161301,1.6830588144127498,-1371.3129466849246,-0.754957532178143,2023,13710,0.7068273092369478
5,30,0.85,1.3,0.08,25.0,0.0,20.0,-12.0,0.3,0.05,False,False,False,7,-0.03,True,7037.212022161301,1.6830588144127498,-1371.3129466849246,-0.754957532178143,2023,13710,0.7068273092369478
3,75,0.9,1.1,0.08,50.0,20000.0,1.0,-12.0,0.03,1.0,True,True,True,21,-0.01,False,6917.258116396159,1.4967002078515275,-2016.7817332138593,-6.578688394499492,1665,18144,0.6586345381526104
14,75,0.8,1.3,0.2,200.0,3000.0,1.0,-12.0,0.5,0.2,False,True,True,45,-0.03,True,6822.549794134095,0.9746495196141994,-5324.438579184256,-3.8341551456777405,2012,7831,0.6626506024096386
14,75,0.8,1.3,0.2,200.0,3000.0,1.0,-12.0,0.5,0.2,False,False,True,45,-0.03,True,6822.549794134095,0.9746495196141994,-5324.438579184256,-3.8341551456777405,2012,7831,0.6626506024096386
14,30,0.75,1.3,0.2,1000.0,50000.0,0.3,-30.0,0.05,2.0,False,True,False,21,0.0,True,6821.237937783399,1.3212723484306472,-4188.422469625835,-0.5527103006819281,906,1091,0.3815261044176707
3,60,0.75,1.2,0.03,500.0,5000.0,0.5,-12.0,1.0,0.3,False,True,True,30,0.0,True,6664.343007574628,1.243330551321608,-2580.6684571682886,-8.406616027420373,1168,6812,0.4457831325301205
3,75,0.85,1.1,0.08,200.0,20000.0,5.0,-12.0,0.03,1.0,True,True,True,21,0.0,False,6643.523931323003,1.5244425026969606,-1402.45590832599,-2.48580562553361,1087,9281,0.4578313253012048
3,90,0.75,1.05,0.12,25.0,3000.0,5.0,-15.0,0.03,0.5,False,True,True,21,-0.03,True,6418.964983188807,2.003131682295399,-1843.6475294206646,-0.8835240777686088,1975,22012,0.7831325301204819
3,90,0.75,1.05,0.08,25.0,3000.0,5.0,-15.0,0.03,0.5,False,True,True,21,-0.03,True,6418.964983188807,2.003131682295399,-1843.6475294206646,-0.8835240777686088,1975,22012,0.7831325301204819
3,90,0.75,1.05,0.12,25.0,10000.0,5.0,-15.0,0.03,0.5,False,True,False,21,-0.03,True,6418.964983188807,2.003131682295399,-1843.6475294206646,-0.8835240777686088,1975,22012,0.7831325301204819
3,90,0.75,1.05,0.12,25.0,5000.0,5.0,-15.0,0.03,0.05,False,True,True,21,-0.03,True,6418.964983188807,2.003131682295399,-1843.6475294206646,-0.8835240777686088,1975,22012,0.7831325301204819
3,75,0.75,1.05,0.2,0.0,20000.0,3.0,-15.0,0.05,1.0,False,True,True,45,-0.03,True,6239.1630355773605,1.957796539736972,-1806.5812493463857,-0.898241881073495,1974,22978,0.7871485943775101
5,30,0.85,1.3,0.15,200.0,0.0,12.0,-12.0,0.1,0.3,False,False,False,7,-0.03,True,6228.8924468378045,1.4978197581842407,-1501.6019201831155,-0.9041638455501023,2030,14824,0.7068273092369478
7,60,0.95,1.05,0.05,25.0,10000.0,8.0,-8.0,0.5,2.0,True,True,False,14,-0.03,False,6083.269693051826,1.552932866864226,-1734.7425076196953,-20.886473934980025,653,11413,0.6104417670682731
7,60,0.95,1.05,0.05,25.0,10000.0,8.0,-8.0,0.5,0.2,True,True,False,14,-0.03,False,6083.269693051826,1.552932866864226,-1734.7425076196953,-20.886473934980025,653,11413,0.6104417670682731
3,90,0.75,1.05,0.12,25.0,0.0,5.0,-15.0,0.03,0.5,False,True,True,21,-0.03,True,6056.046341628337,1.8975424101290326,-1806.5812493463857,-0.898241881073495,1976,23065,0.7831325301204819
5,30,0.85,1.3,0.08,200.0,0.0,20.0,-12.0,0.1,0.05,False,True,False,7,-0.0125,True,5953.981210718465,1.4885286748479156,-1371.3129466849246,-1.0493283799086224,1887,12981,0.6666666666666666
3,90,0.95,1.3,0.03,0.0,5000.0,12.0,-12.0,0.1,1.0,False,False,True,7,-0.0075,True,5811.347051189155,1.1853171368485953,-2954.3575413126982,-3.464151870669672,1723,13049,0.6465863453815262
3,90,0.95,1.3,0.03,0.0,1000.0,12.0,-12.0,0.1,0.2,False,False,True,14,-0.0075,True,5811.347051189155,1.1853171368485953,-2954.3575413126982,-3.464151870669672,1723,13049,0.6465863453815262
3,90,0.95,1.3,0.03,50.0,5000.0,12.0,-12.0,0.1,1.0,False,False,True,7,-0.0075,True,5811.347051189155,1.1853171368485953,-2954.3575413126982,-3.464151870669672,1723,13049,0.6465863453815262
3,90,0.95,1.3,0.03,0.0,5000.0,12.0,-12.0,0.3,1.0,False,False,True,7,-0.0075,True,5811.347051189155,1.1853171368485953,-2954.3575413126982,-3.464151870669672,1723,13049,0.6465863453815262
3,90,0.95,1.3,0.03,0.0,0.0,5.0,-12.0,0.1,1.0,False,False,True,7,-0.0075,True,5811.347051189155,1.1853171368485953,-2954.3575413126982,-3.464151870669672,1723,14109,0.6465863453815262
14,120,0.95,1.05,0.03,1000.0,3000.0,5.0,-10.0,0.2,0.2,False,True,True,60,0.0,True,5751.670393497356,1.0026554712247302,-5311.338900355278,-2.010904411668334,968,1263,0.3815261044176707
3,90,0.95,1.25,0.15,1000.0,0.0,2.0,-8.0,0.03,0.05,True,True,True,30,-0.01,False,5705.54154859548,0.36432635955939946,-11524.63604727712,-7.19485871256474,1824,17936,0.5662650602409639
3,30,0.75,1.05,0.08,50.0,20000.0,0.5,-12.0,0.2,0.5,False,False,True,21,-0.0125,True,5525.046045633306,0.9296748974486814,-2992.2033990702475,-0.4888010775008961,1876,15716,0.7028112449799196
14,90,0.9,1.25,0.12,1000.0,10000.0,8.0,-3.0,0.3,0.2,True,True,False,30,-0.02,False,5518.614323495632,0.7818110057963475,-4769.75857388516,-0.6821798372228682,700,3000,0.5461847389558233
14,75,0.8,1.3,0.2,200.0,3000.0,0.05,-12.0,0.5,0.2,True,True,True,45,-0.03,False,5514.101530468042,1.158393948802101,-4460.052248645682,-4.123846578752719,1805,7898,0.6546184738955824
3,90,0.95,1.3,0.03,0.0,5000.0,12.0,-12.0,0.3,1.0,False,False,True,7,-0.02,True,5452.346533980259,1.0795741572785436,-2954.3575413126982,-3.464151870669672,1947,14698,0.7309236947791165
10,120,0.95,1.05,0.03,0.0,3000.0,0.05,-10.0,0.1,2.0,False,True,True,60,0.0,True,5406.158518522025,0.9432961170731052,-5308.03330137306,-3.3177090735916615,1142,4989,0.3895582329317269
14,30,0.75,1.3,0.2,1000.0,50000.0,8.0,-30.0,0.05,2.0,False,True,False,21,0.0,True,5196.349151236017,1.004613919041381,-5185.5828795933185,-3.951597415558911,887,1047,0.3855421686746988
14,30,0.75,1.3,0.2,1000.0,50000.0,8.0,-30.0,0.05,2.0,False,True,False,30,0.0,True,5196.349151236017,1.004613919041381,-5185.5828795933185,-3.951597415558911,887,1047,0.3855421686746988
14,30,0.75,1.3,0.2,1000.0,50000.0,8.0,-30.0,0.05,0.3,False,False,True,21,0.0,True,5196.349151236017,1.004613919041381,-5185.5828795933185,-3.951597415558911,887,1047,0.3855421686746988
14,30,0.75,1.3,0.1,1000.0,50000.0,8.0,-30.0,0.1,2.0,False,False,True,21,0.0,True,5196.349151236017,1.004613919041381,-5185.5828795933185,-3.951597415558911,887,1047,0.3855421686746988
14,45,0.8,1.3,0.03,200.0,1000.0,20.0,-3.0,0.2,0.05,False,True,False,7,-0.0125,True,5111.241333476079,0.499950141547806,-8381.547712691328,-285.4565736489551,1985,4830,0.5542168674698795
14,90,0.75,1.1,0.15,1000.0,3000.0,1.0,-12.0,0.2,1.0,False,False,True,30,-0.02,True,5025.268636490938,0.6696703139519127,-8540.97316369929,-36.087780324234494,1904,3477,0.6305220883534136
21,75,0.8,1.25,0.15,1000.0,50000.0,0.3,-8.0,0.2,0.1,False,False,True,30,-0.01,True,4931.2628450897,0.6440531136596761,-7204.854600579064,-11.012421073081256,1638,2244,0.5662650602409639
3,75,0.75,1.05,0.2,50.0,20000.0,8.0,-15.0,0.2,1.0,False,True,True,45,-0.03,True,4879.872947728334,1.4941229949149697,-1927.03239149105,-1.3979423660052732,1972,19799,0.7911646586345381
3,75,0.75,1.05,0.2,50.0,20000.0,8.0,-15.0,0.03,1.0,False,True,True,45,-0.03,True,4879.872947728334,1.4941229949149697,-1927.03239149105,-1.3979423660052732,1972,19799,0.7911646586345381
14,75,0.75,1.05,0.15,500.0,10000.0,0.1,-10.0,1.0,0.5,False,False,False,30,-0.02,True,4768.925376833222,0.5255784830928517,-6742.69253690017,-28.353864221505795,1938,4710,0.6706827309236948
14,60,0.9,1.2,0.2,200.0,10000.0,2.0,-4.0,0.3,0.05,False,True,True,45,0.0,True,4719.647854040413,0.40920086719469084,-8038.8447627145815,-0.6851165952594216,1313,3919,0.42971887550200805
21,45,0.85,1.1,0.15,1000.0,20000.0,2.0,-2.0,0.03,0.2,False,True,True,21,-0.0075,True,4547.335120016211,0.5821713144256915,-7431.879047784443,-3.8571726399531125,1313,1503,0.5381526104417671
21,45,0.8,1.3,0.03,200.0,1000.0,2.0,-3.0,0.2,0.05,False,False,False,7,-0.0125,True,4476.219389552871,0.4785747664333238,-8335.664760982832,-1.0231899434203946,1944,4132,0.5502008032128514
10,90,0.95,1.1,0.2,25.0,10000.0,3.0,-8.0,1.0,0.1,True,True,False,30,-0.0075,False,4463.780283133404,0.5490730937008114,-5964.523036873561,-0.6450828010062906,619,9485,0.4538152610441767
7,30,0.9,1.05,0.12,200.0,3000.0,5.0,-4.0,0.03,2.0,False,True,True,60,0.0,True,4368.5781508093605,0.4922485114323929,-6568.659861210123,-39.45577292696317,1224,4952,0.46987951807228917
14,90,0.75,1.1,0.15,1000.0,3000.0,1.0,-20.0,0.3,1.0,False,False,True,30,-0.02,True,4367.0970476048415,0.623396579991206,-8478.184979091659,-36.087780324234494,1883,3456,0.6385542168674698
14,90,0.75,1.1,0.2,1000.0,3000.0,1.0,-20.0,0.3,1.0,False,False,True,30,-0.02,True,4367.0970476048415,0.623396579991206,-8478.184979091659,-36.087780324234494,1883,3456,0.6385542168674698
14,30,0.9,1.3,0.1,0.0,10000.0,0.1,-12.0,0.3,1.0,False,False,True,14,-0.01,True,4357.98354056678,0.7521943525908091,-4473.764093314283,-2.773542564801061,1767,5169,0.5903614457831325
3,75,0.75,1.05,0.2,50.0,20000.0,8.0,-15.0,0.2,1.0,True,True,True,45,-0.03,False,4223.121985304259,1.5715103478859649,-1497.0160912045967,-1.7245397092960875,1972,19799,0.7751004016064257
21,45,0.85,1.1,0.15,1000.0,20000.0,0.5,-2.0,0.5,0.2,False,True,True,21,-0.0075,True,4175.859265455584,0.5341792389966278,-7617.245589645816,-3.9533785589452357,1317,1509,0.5381526104417671
21,45,0.85,1.1,0.08,1000.0,3000.0,0.3,-2.0,0.03,0.2,False,True,True,21,-0.0075,True,4175.859265455584,0.5341792389966278,-7617.245589645816,-3.9533785589452357,1317,1509,0.5381526104417671
14,45,0.95,1.2,0.05,1000.0,50000.0,5.0,-0.3,0.03,2.0,True,True,True,45,-0.02,False,4087.4947553604607,0.6079536943882476,-4624.486048529823,-11.690206607819603,1655,2034,0.6265060240963856
14,45,0.95,1.2,0.05,1000.0,50000.0,5.0,-0.3,0.5,0.05,True,True,True,45,-0.02,False,4087.4947553604607,0.6079536943882476,-4624.486048529823,-11.690206607819603,1655,2034,0.6265060240963856
3,75,0.8,1.05,0.2,200.0,20000.0,3.0,-15.0,0.2,1.0,False,True,True,45,-0.03,True,4083.2216775949555,0.7505374521290463,-3004.387787087596,-1.5555590518150844,1968,15915,0.7831325301204819
7,90,0.95,1.1,0.1,25.0,10000.0,12.0,-8.0,0.05,0.2,True,True,False,30,-0.03,False,3997.9465602564737,0.4684002180104622,-4505.399285189156,-0.6052155967494037,718,12455,0.5180722891566265
14,30,0.9,1.3,0.2,1000.0,3000.0,8.0,-30.0,0.05,2.0,False,True,False,21,0.0,True,3918.836758623797,0.7077462612022908,-6874.204866581633,-1.4923601281785213,843,976,0.37751004016064255
21,30,0.8,1.05,0.12,50.0,20000.0,0.5,-12.0,0.2,0.5,False,False,False,21,-0.0125,True,3895.0055507538355,0.4571639058843431,-6348.3883221405495,-26.68753061496006,1646,2750,0.5742971887550201
5,30,0.9,1.3,0.1,50.0,10000.0,0.3,-12.0,0.3,1.0,False,False,True,60,-0.015,True,3885.5227468107832,1.0823564416477718,-1838.259181402424,-12.487998456523352,1870,13321,0.678714859437751
5,30,0.9,1.3,0.1,50.0,1000.0,0.3,-12.0,0.3,0.2,False,False,True,60,-0.015,True,3885.5227468107832,1.0823564416477718,-1838.259181402424,-12.487998456523352,1870,13321,0.678714859437751
5,30,0.9,1.3,0.1,50.0,10000.0,0.3,-12.0,0.1,1.0,False,False,True,60,-0.015,True,3885.5227468107832,1.0823564416477718,-1838.259181402424,-12.487998456523352,1870,13321,0.678714859437751
5,75,0.8,1.1,0.08,50.0,20000.0,1.0,-12.0,0.03,0.2,True,True,True,21,-0.01,False,3854.744703464402,0.9221571929759781,-2736.5235169730327,-2.212925271529231,1664,17611,0.6224899598393574
21,90,0.75,1.05,0.08,25.0,3000.0,5.0,-15.0,0.03,0.5,False,True,True,21,-0.03,True,3782.8165079095884,0.508527568988862,-4270.36803763272,-7.797535560453434,1962,7925,0.6666666666666666
21,30,0.75,1.05,0.12,50.0,20000.0,0.5,-12.0,0.2,0.5,False,False,True,21,-0.0125,True,3752.7354825635884,0.46829324714916337,-6387.18447079058,-28.078881549537986,1654,2796,0.5742971887550201
21,30,0.75,1.05,0.12,50.0,20000.0,0.5,-12.0,0.2,0.5,False,False,True,60,-0.0125,True,3752.7354825635884,0.46829324714916337,-6387.18447079058,-28.078881549537986,1654,2796,0.5742971887550201
14,45,0.8,1.3,0.03,200.0,1000.0,2.0,-3.0,0.2,0.05,False,False,False,7,-0.0125,True,3732.373068930965,0.35001606757188547,-8381.547712691328,-285.4565736489551,1996,6016,0.5502008032128514
14,45,0.8,1.3,0.03,200.0,5000.0,2.0,-3.0,1.0,0.05,False,False,False,7,-0.0125,True,3732.373068930965,0.35001606757188547,-8381.547712691328,-285.4565736489551,1996,6016,0.5502008032128514
14,45,0.8,1.3,0.03,200.0,1000.0,2.0,-3.0,0.2,1.0,False,False,False,7,-0.0125,True,3732.373068930965,0.35001606757188547,-8381.547712691328,-285.4565736489551,1996,6016,0.5502008032128514
14,45,0.8,1.3,0.03,200.0,1000.0,2.0,-3.0,0.2,0.1,False,True,False,7,-0.0125,True,3732.373068930965,0.35001606757188547,-8381.547712691328,-285.4565736489551,1996,6016,0.5502008032128514
14,45,0.8,1.3,0.03,200.0,1000.0,2.0,-3.0,1.0,0.05,False,True,True,60,-0.0125,True,3732.373068930965,0.35001606757188547,-8381.547712691328,-285.4565736489551,1996,6016,0.5502008032128514
7,60,0.95,1.05,0.05,25.0,10000.0,3.0,-8.0,0.5,2.0,False,True,False,14,-0.03,True,3690.155031352162,0.3760231586237633,-8252.725358906126,-26.660791095828294,2021,12244,0.6746987951807228
14,120,0.95,1.05,0.03,50.0,3000.0,5.0,-10.0,0.1,0.2,False,True,True,60,0.0,True,3605.5538656797116,0.6516106494970257,-4134.376691596637,-2.1971751212849293,1135,3509,0.3855421686746988
14,120,0.95,1.05,0.03,50.0,0.0,5.0,-10.0,0.1,0.3,False,True,True,60,0.0,True,3605.5538656797116,0.6516106494970257,-4134.376691596637,-2.1971751212849293,1135,3509,0.3855421686746988
7,90,0.95,1.1,0.2,25.0,10000.0,12.0,-8.0,1.0,0.1,True,True,False,30,-0.0075,False,3578.8350037114737,0.4050225113736319,-5616.748264400056,-0.6903128645655595,633,11031,0.4859437751004016
7,90,0.95,1.1,0.2,25.0,5000.0,12.0,-8.0,1.0,0.5,True,True,False,30,-0.0075,False,3578.8350037114737,0.4050225113736319,-5616.748264400056,-0.6903128645655595,633,11031,0.4859437751004016
7,90,0.95,1.1,0.2,25.0,10000.0,12.0,-8.0,0.5,0.1,True,True,False,30,-0.0075,False,3578.8350037114737,0.4050225113736319,-5616.748264400056,-0.6903128645655595,633,11031,0.4859437751004016
14,45,0.85,1.2,0.05,1000.0,50000.0,5.0,-0.3,0.03,2.0,False,True,True,45,-0.02,True,3567.190796389723,0.3740663078395432,-8807.91759282639,-28.386310409469935,1845,2597,0.6506024096385542
21,75,0.95,1.15,0.08,1000.0,3000.0,0.3,-30.0,0.1,2.0,False,True,True,60,-0.0125,True,3565.2887355788944,0.44419653793522534,-9146.557566880072,-10.151814608207705,1414,1627,0.5823293172690763
14,75,0.75,1.05,0.15,1000.0,10000.0,0.1,-10.0,1.0,2.0,True,False,False,7,-0.02,False,3524.4255428710026,1.0257613856139698,-2929.56829426725,-10.202611307594264,710,3137,0.606425702811245
14,75,0.75,1.05,0.03,1000.0,50000.0,0.1,-10.0,1.0,0.5,True,False,False,45,-0.02,False,3524.4255428710026,1.0257613856139698,-2929.56829426725,-10.202611307594264,710,3137,0.606425702811245
21,90,0.8,1.25,0.08,500.0,20000.0,3.0,-5.0,0.5,2.0,True,False,True,7,-0.02,False,3508.3768453537123,0.9680557776017298,-2877.33710402211,-7.963551574882859,783,3934,0.5502008032128514
10,60,0.9,1.3,0.05,200.0,20000.0,2.0,-6.0,0.3,0.1,True,True,True,21,-0.02,False,3406.239720757075,0.40074839689084907,-5612.187289661433,-1.2133749177627715,1494,8502,0.5943775100401606
5,30,0.75,1.3,0.1,50.0,10000.0,0.3,-12.0,0.2,1.0,True,False,True,60,-0.015,False,3330.065418865973,1.0119051665247338,-3081.6001859798957,-1.1495327747762707,1882,14321,0.6867469879518072
14,75,0.9,1.1,0.2,200.0,20000.0,0.3,-15.0,0.05,0.2,True,True,True,21,-0.0075,False,3229.4035507157446,1.2127609372353634,-3026.2849952361375,-4.585790722564171,989,6017,0.570281124497992
7,30,0.95,1.05,0.12,200.0,3000.0,10.0,-4.0,0.03,2.0,False,True,True,60,0.0,True,3218.485550347886,0.41447256267090044,-6275.065959902767,-5.206521755872916,1195,4158,0.46184738955823296
10,45,0.9,1.15,0.1,200.0,5000.0,15.0,-3.0,0.03,1.0,False,True,True,7,-0.015,True,3191.1180492377052,0.3089493388565141,-9798.009027818174,-11.285759462519483,2010,6448,0.5341365461847389
3,60,0.75,1.05,0.12,25.0,5000.0,0.05,-30.0,0.1,1.0,True,False,True,21,-0.0125,False,3190.7995050790964,1.2668421017718932,-1550.842548542641,-2.8470499333136443,1811,20557,0.7309236947791165
3,90,0.95,1.1,0.2,25.0,50000.0,12.0,-8.0,0.05,0.1,True,True,False,45,-0.0075,False,3173.161293164604,0.36273130845400264,-4857.050744650492,-1.0636941529517452,675,14490,0.5381526104417671
5,30,0.8,1.25,0.08,0.0,10000.0,2.0,-15.0,0.3,0.1,False,True,True,30,-0.015,True,3165.054180815793,1.6065467230291297,-1163.504445212601,-6.902456364564751,1850,15246,0.7188755020080321
10,75,0.95,1.1,0.05,1000.0,3000.0,12.0,-4.0,0.1,0.5,True,True,False,21,-0.0125,False,3085.9413039338965,0.7089293199102189,-4052.549775717686,-2.109198259885849,553,2625,0.4497991967871486
7,30,0.85,1.05,0.12,200.0,3000.0,8.0,-4.0,0.1,2.0,False,False,True,60,0.0,True,3011.9671970076984,0.3429731961293413,-6878.784595121092,-9.298331893058647,1227,5069,0.4578313253012048
3,30,0.85,1.3,0.03,25.0,20000.0,0.1,-10.0,0.3,1.0,False,True,True,60,-0.03,True,2980.93831423395,0.3837845320593309,-6700.308661440209,-2.0894096786674523,2035,15689,0.7309236947791165
21,120,0.85,1.3,0.1,200.0,10000.0,15.0,-20.0,0.1,0.05,True,False,False,60,-0.02,False,2674.945270055586,1.6728977946544497,-1154.8105021273577,-0.6864330820538188,653,4887,0.5341365461847389
14,90,0.9,1.3,0.1,100.0,20000.0,0.1,-8.0,0.3,0.3,True,False,True,21,-0.02,False,2674.1638706542017,0.5884372125933766,-2446.246593268513,-10.348271168209664,1221,9072,0.5542168674698795
