param,level,mean_delta_pnl,mean_abs_delta_pnl
fill_gate,high,-98.4655839502908,117.40469604378188
fill_gate,low,119.79261858076171,119.79496739196708
min_edge_to_cost_ratio,high,-427.6551549728969,555.4284944176745
min_edge_to_cost_ratio,low,-129.72262933542038,467.516381098633
option_commission_per_contract,high,-725.4433364541876,725.4433364541876
option_commission_per_contract,low,696.8192918196718,696.8192918196719
option_fee_per_contract,high,-120.26594139818377,120.26594139818377
option_fee_per_contract,low,96.21598933990708,96.21598933990708
slippage_bps,high,-800.407917843087,894.3473291176956
slippage_bps,low,587.8633992917948,806.5991045011388
spread_cross_fraction,high,-3711.046525810373,3711.046525810373
spread_cross_fraction,low,4152.253186123657,4152.253186123657
volume_participation_rate,high,0.0017979007553208248,0.004146711960686389
volume_participation_rate,low,0.0017979007553208248,0.004146711960686389
