symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,signal_abs_gate,strategy_mode,long_score_scale,allow_long_puts,vertical_skip_if_no_wing,hedge_underlying_delta,max_trades_per_day,backtest_version,generated_at_utc,summary_signal_abs_gate,total_pnl,daily_sharpe,trades,total_fees,total_options_pnl,total_options_pnl_gross,total_hedge_pnl,final_equity,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
AAPL,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:16.202693Z,0.04,4423.944506233287,1.97196387710613,805.0,2214.3601418018343,3847.999377957218,6062.359519759053,575.9451282760698,14423.944506233289,4423.944506233287,1.97196387710613,805.0,0.0,0.0,0.0
AAPL,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:18.227852Z,0.04,4514.080030566429,2.016675594176496,805.0,2214.366275286675,3816.2464232620387,6030.6126985487135,697.8336073043909,14514.08003056643,4423.944506233287,1.97196387710613,805.0,90.1355243331418,0.0447117170703657,0.0
AAPL,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:20.166312Z,0.04,3992.208165463429,1.8734711099267944,806.0,2217.1102791786197,3491.709269912885,5708.819549091504,500.4988955505445,13992.208165463431,4423.944506233287,1.97196387710613,805.0,-431.7363407698581,-0.09849276717933564,1.0
AAPL,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:22.114268Z,0.04,5384.68270185686,2.343804534016751,808.0,2222.608534860611,4953.766690644696,7176.375225505306,430.91601121216496,15384.682701856857,4423.944506233287,1.97196387710613,805.0,960.7381956235731,0.37184065691062074,3.0
AAPL,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:24.094336Z,0.04,2966.4369484593985,1.407701680407707,819.0,2252.8776104927065,2465.495085712197,4718.372696204904,500.94186274720107,12966.436948459399,4423.944506233287,1.97196387710613,805.0,-1457.5075577738885,-0.5642621966984231,14.0
AAPL,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:26.513802Z,0.04,6303.977370337175,2.6161730882320438,807.0,2219.9360100746158,4706.076923985547,6926.012934060162,1597.900446351628,16303.977370337172,4423.944506233287,1.97196387710613,805.0,1880.0328641038877,0.6442092111259137,2.0
AAPL,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:28.751428Z,0.04,-553.5940133687774,-0.15300728715457768,823.0,2263.858534550667,-1294.7523693166631,969.1061652340056,741.1583559478854,9446.405986631224,4423.944506233287,1.97196387710613,805.0,-4977.538519602064,-2.1249711642607076,18.0
AAPL,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:30.822681Z,0.04,5350.1763854577675,2.3566651531202925,805.0,1265.3462194442748,4771.127234974056,6036.473454418331,579.0491504837114,15350.17638545777,4423.944506233287,1.97196387710613,805.0,926.2318792244805,0.3847012760141624,0.0
AAPL,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:32.856242Z,0.04,3474.933016889645,1.5760418761913808,805.0,3163.3716311454773,2898.987888613575,6062.359519759053,575.9451282760698,13474.933016889643,4423.944506233287,1.97196387710613,805.0,-949.0114893436421,-0.3959220009147493,0.0
AAPL,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:35.005045Z,0.04,4550.479371479107,2.0245444034598665,805.0,2087.825276556015,3974.5342432030375,6062.359519759053,575.9451282760698,14550.479371479109,4423.944506233287,1.97196387710613,805.0,126.53486524581967,0.052580526353736445,0.0
AAPL,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:36.965404Z,0.04,4265.775924676014,1.9061639786604823,805.0,2372.528723359108,3689.830796399945,6062.359519759053,575.9451282760698,14265.775924676014,4423.944506233287,1.97196387710613,805.0,-158.16858155727277,-0.06579989844564782,0.0
AAPL,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:38.871004Z,0.04,4582.338004470941,2.0337191322771653,804.0,2211.6129475831985,4087.8001436295635,6299.413091212764,494.53786084137744,14582.338004470943,4423.944506233287,1.97196387710613,805.0,158.39349823765406,0.061755255171035195,-1.0
AAPL,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:40.805088Z,0.04,3577.5053827121856,1.7107815382278375,808.0,2222.601754832268,3492.6332509662684,5715.235005798536,84.87213174591761,13577.505382712185,4423.944506233287,1.97196387710613,805.0,-846.4391235211015,-0.26118233887829256,3.0
AAPL,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:42.719628Z,0.04,4423.944506233287,1.97196387710613,805.0,2214.3601418018343,3847.999377957218,6062.359519759053,575.9451282760698,14423.944506233289,4423.944506233287,1.97196387710613,805.0,0.0,0.0,0.0
AAPL,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:44.596643Z,0.04,4423.944506233287,1.97196387710613,805.0,2214.3601418018343,3847.999377957218,6062.359519759053,575.9451282760698,14423.944506233289,4423.944506233287,1.97196387710613,805.0,0.0,0.0,0.0
MSFT,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:46.550028Z,0.04,-3415.7515008563882,-0.6426392981580817,847.0,2331.287919306755,-7118.09573844494,-4786.8078191381865,3702.344237588554,6584.248499143614,-3415.7515008563882,-0.6426392981580817,847.0,0.0,0.0,0.0
