symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,device,signal_abs_gate,strategy_mode,long_score_scale,allow_long_puts,vertical_skip_if_no_wing,hedge_underlying_delta,max_trades_per_day,total_pnl,daily_sharpe,trades,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
AAPL,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,4245.699995889352,1.889704309761367,805.0,4245.699995889352,1.889704309761367,805.0,0.0,0.0,0.0
AAPL,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,4543.779876773094,2.0274180646867026,805.0,4245.699995889352,1.889704309761367,805.0,298.0798808837417,0.13771375492533555,0.0
AAPL,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,4021.9080116700934,1.8849706179416361,806.0,4245.699995889352,1.889704309761367,805.0,-223.79198421925867,-0.004733691819730934,1.0
AAPL,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,5405.43025893999,2.3508356200349088,808.0,4245.699995889352,1.889704309761367,805.0,1159.7302630506383,0.4611313102735417,3.0
AAPL,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,2996.1367946660635,1.419465356718265,819.0,4245.699995889352,1.889704309761367,805.0,-1249.5632012232886,-0.47023895304310215,14.0
AAPL,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,6334.163721512101,2.626157388834962,807.0,4245.699995889352,1.889704309761367,805.0,2088.463725622749,0.736453079073595,2.0
AAPL,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-526.5081496526523,-0.14008742676289582,823.0,4245.699995889352,1.889704309761367,805.0,-4772.208145542005,-2.029791736524263,18.0
AAPL,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,5379.876231664432,2.366949755307128,805.0,4245.699995889352,1.889704309761367,805.0,1134.1762357750804,0.47724544554576087,0.0
AAPL,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,3504.63286309631,1.587227299325167,805.0,4245.699995889352,1.889704309761367,805.0,-741.0671327930422,-0.3024770104362,0.0
AAPL,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,4580.1792176857725,2.0352171488267974,805.0,4245.699995889352,1.889704309761367,805.0,334.47922179642046,0.14551283906543033,0.0
