name,price_risk_weight,exec_risk_weight,risk_focus_abs_x,risk_focus_tau_days,exec_label_smoothing,exec_logit_l2,run_dir,total_pnl,max_drawdown_abs,daily_sharpe,win_rate,trades,price_rmse,exec_brier
cfg09_anchor_no_nudges,0.0,0.0,0.055,18.0,0.0,0.0,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041546,-3126.8663137797266,-19861.090869545937,-0.14355894176368134,0.4738955823293173,3984,0.0061619165353477,0.009803714230656624
cfg04_price_heavy,1.9,0.4,0.05,16.0,0.03,0.0002,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041212,-3326.6477340240963,-22025.345245361328,-0.1429693917228558,0.5341365461847389,3984,0.0066487523727118,0.0094842901453375
cfg08_low_reg_low_smooth,1.2,0.6,0.055,18.0,0.0,0.0,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041432,-5184.2852002978325,-21978.067901611328,-0.2281529408777231,0.5060240963855421,3984,0.0066118203103542,0.0099145714193582
cfg10_anchor_mild_nudges,0.4,0.2,0.075,24.0,0.01,5e-05,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041620,-5234.215203940868,-23797.63667488098,-0.2171007515556119,0.5542168674698795,3984,0.0063709598034620285,0.009348675608634949
cfg07_ultra_short_focus,1.2,0.6,0.04,12.0,0.03,0.00025,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041357,-5549.391144692898,-23855.277461528774,-0.2341095645716832,0.5100401606425703,3984,0.006519965827465,0.0095202522352337
cfg02_lite_focus,1.0,0.4,0.065,22.0,0.02,0.00015,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041104,-6419.413437152281,-22132.523345947266,-0.2806823396698369,0.5100401606425703,3984,0.0065725361928343,0.0092229405418038
cfg06_broad_focus,1.2,0.6,0.08,26.0,0.03,0.00025,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041322,-7376.694993972778,-22305.93816280365,-0.31793691049277,0.465863453815261,3984,0.0066476496867835,0.0095478584989905
cfg01_center,1.25,0.6,0.055,18.0,0.035,0.00025,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041030,-7465.822841972113,-21912.11016845703,-0.3255719679730895,0.4779116465863454,3984,0.0066189975477755,0.0095623405650258
cfg05_exec_heavy,0.9,1.1,0.06,20.0,0.05,0.0004,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041247,-8645.1231803298,-22809.81579017639,-0.3784372492661479,0.5140562248995983,3984,0.006528072990477,0.0100215496495366
cfg03_strong_focus,1.6,0.8,0.045,14.0,0.045,0.00035,/Users/abelobsenz/fin_project copy/outputs/sweeps_6knob_20260217/runs/run_20260217_041138,-9237.013133302333,-25837.3110370636,-0.394539739387622,0.4819277108433735,3984,0.0066284318454563,0.0097698522731661
